IMDB Rating,Country,Genres (1st),Production Companies (1st),Year of Release
5.2,Finland,Comedy,Dada-Filmi Oy,1992
5.1,India,Action,Goldmines Telefilms,2013
5.9,United Kingdom,Drama,John Argyle Productions,1950
4.5,United States,Action,Gunny Entertainment,2010
6.8,Brazil,Comedy,A.C. Fontoura & D. Achcar,1968
6,France,Comedy,Gaumont International,1983
7.3,United States,Animation,Walt Disney Animation Studios,2021
6,France,Crime,Caro-Film GmbH,1973
6.4,India,Comedy,Lakshmi Movie Makers,1999
5.8,United States,Comedy,Twentieth Century Fox,1939
5.4,Spain,Action,"""Afrodita Audiovisual",2012
6.9,India,Action,Samyuktha Movies,1986
3.9,United States,Action,Pro-Motion Pictures,2012
6.6,Philippines,Action,Viva Films,1989
7.3,Japan,Crime,Shochiku,1974
7.6,United States,Comedy,Singletree Productions,2009
6.8,United States,Action,Boy Wonder Films,2010
6.3,Denmark,Drama,Nimbus Film Productions,2010
6.7,Japan,Action,Bandai Visual Company,1990
7.2,France,Drama,Films Borderie,1964
5.3,France,Drama,Capricci Films,2020
6.2,Italy,Biography,Produzioni Artistiche Internazionali,1966
7.2,United States,Drama,Jagged Edge Films,2002
3.2,India,Family,Monang Films International,1996
6.5,Japan,Animation,Toei Animation,1980
3.2,Sweden,Thriller,Börje Larsson Produktion,1956
7,Poland,Comedy,Canal+ Polska,2007
5.4,France,Adventure,22h22,2020
4.8,France,Comedy,Les films du 24,2018
5.4,Canada,Comedy,Ringo Jones Production,2019
5.6,India,Drama,P. K. Films,2009
6.7,Turkey,Comedy,Saner Film,1971
5.9,Japan,Action,Toei Company,1978
6.6,Denmark,Thriller,Det Danske Filminstitut,2009
6.8,United Kingdom,Drama,The Rank Organisation,1966
6.7,United States,Comedy,Twentieth Century Fox,1941
7.4,Mexico,Drama,Cineproducciones Irvsa de Mexico S.A.,1984
4.6,India,Musical,Tak Brothers',1984
8.2,United Kingdom,Adventure,The British Youth Film Academy,2006
5.4,United States,Comedy,Republic Pictures (I),1938
6.1,United States,Crime,Parklane Pictures Inc.,1953
6.5,United States,Comedy,Fox 2000 Pictures,1996
5.9,Italy,Crime,Acaba Produzioni,2013
6.1,United States,Thriller,Orion Pictures,1988
7.1,Slovenia,Drama,Zavod ZANK,2019
5.9,France,Comedy,Origami Films,2012
6.6,United States,Biography,Double Feature Films,2015
6.9,Japan,Crime,Toho Company,1956
6.4,Turkey,Crime,Kolor,2021
6.2,China,Drama,Fortune All Asia-Pacific Entertainment (Shanghai),2017
3.4,United Kingdom,Horror,North Bank Entertainment,2014
6.1,India,Action,Eagle Films,1984
6.6,Thailand,Comedy,Sahamongkol Film International,2006
6.2,United States,Drama,Bluegrass Films,2014
7.3,Japan,Drama,Toho Company,1959
4.4,Finland,Action,Kisi Production,2008
5.9,United States,Drama,Famous Filmworks,2014
7.4,United States,Documentary,Zachary M. Werner Productions,2005
6.5,United States,Crime,RKO Radio Pictures,1946
7.1,Israel,Documentary,Micha's Films,2011
6.9,United States,Drama,Metro-Goldwyn-Mayer (MGM),1951
6.6,India,Action,Asha Art International,1978
7.6,Canada,Horror,Frontline Films,2005
7.4,United States,Action,Columbia Pictures,2002
7.3,India,Action,Nasir Hussain Films,1973
6.4,United States,Action,Columbia Pictures,2019
6.5,United States,Action,Metro-Goldwyn-Mayer (MGM),1971
4.4,Germany,Adventure,Bavaria Film,1939
3.9,India,Drama,Padmini Arts,2012
7.3,United States,Drama,SouthBay Film Studios,2006
5.3,India,Action,Friends India,1999
